"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
1.10085838339231e-26,9,10,24,"KM1427","synecho","Qc",2014-12-09 07:00:00
3.06420361554487e-06,3,17,24,"KM1508","synecho","abundance",2015-05-22 22:00:00
9.54397495020794e-38,12,13,24,"KM1508","synecho","Qc",2015-05-23 07:00:00
0.912206949891001,18,8,24,"KM1512","synecho","abundance",2015-07-19 14:00:00
7.09154015591677e-13,9,14,24,"KM1512","synecho","Qc",2015-07-19 05:00:00
0.124071207654783,23,17,24,"KOK1515","synecho","abundance",2015-10-13 21:00:00
1.41845124140378e-08,6,11,24,"KOK1515","synecho","Qc",2015-10-13 04:00:00
0.000264989269740701,17,13,24,"KM1518","synecho","abundance",2015-11-13 13:00:00
1.69639688663171e-32,12,10,24,"KM1518","synecho","Qc",2015-11-13 08:00:00
0.0133989884963479,19,11,24,"KM1601","synecho","abundance",2016-01-12 15:00:00
2.93872101497806e-13,12,8,24,"KM1601","synecho","Qc",2016-01-12 08:00:00
0.333352590927485,20,11,24,"KM1602","synecho","abundance",2016-02-09 16:00:00
2.48422866358223e-16,12,11,24,"KM1602","synecho","Qc",2016-02-09 08:00:00
0.896240744720584,16,9,24,"KOK1604","synecho","abundance",2016-04-14 06:00:00
3.29662221954308e-21,22,10,24,"KOK1604","synecho","Qc",2016-04-14 12:00:00
0.00272511929108214,13,15,24,"KOK1608","synecho","abundance",2016-07-10 23:00:00
1.49015986876018e-09,23,9,24,"KOK1608","synecho","Qc",2016-07-11 09:00:00
1.21565811344719e-12,9,7,24,"KOK1609","synecho","abundance",2016-08-08 19:00:00
1.19551944082813e-18,21,13,24,"KOK1609","synecho","Qc",2016-08-09 07:00:00
1.10644676038715e-07,3,15,24,"KM1708","synecho","abundance",2017-06-19 23:00:00
1.31349987532779e-12,11,13,24,"KM1708","synecho","Qc",2017-06-20 07:00:00
0.00571948173761996,12,17,24,"KM1717","synecho","abundance",2017-11-08 07:00:00
1.53484727006897e-29,12,10,24,"KM1717","synecho","Qc",2017-11-08 07:00:00
1.62903005251662e-05,18,11,24,"KM1802","synecho","abundance",2018-01-17 13:00:00
6.55143526179044e-19,13,12,24,"KM1802","synecho","Qc",2018-01-17 08:00:00
0.19855958343937,19,17,24,"KOK1801","synecho","abundance",2018-04-17 19:00:00
7.89640561136313e-11,9,7,24,"KOK1801","synecho","Qc",2018-04-17 09:00:00
0.886154194861575,9,7,24,"KOK1803","synecho","abundance",2018-05-15 08:00:00
2.8699904741552e-05,8,11,24,"KOK1803","synecho","Qc",2018-05-15 07:00:00
0.208549165024572,18,8,24,"KOK1804","synecho","abundance",2018-06-26 16:00:00
1.54070482247879e-23,8,11,24,"KOK1804","synecho","Qc",2018-06-26 06:00:00
2.46001216627833e-07,4,17,24,"KOK1807","synecho","abundance",2018-07-24 01:00:00
1.59798991314014e-25,10,12,24,"KOK1807","synecho","Qc",2018-07-24 07:00:00
1.50199079521704e-18,2,10,24,"KM1821","synecho","abundance",2018-11-15 21:00:00
3.73112926474552e-31,13,8,24,"KM1821","synecho","Qc",2018-11-16 08:00:00
1.30987007633783e-10,1,10,24,"KM1901","synecho","abundance",2019-01-14 21:00:00
1.33854614737332e-09,13,9,24,"KM1901","synecho","Qc",2019-01-15 09:00:00
1.27919039603432e-14,1,11,24,"KM1903","synecho","abundance",2019-02-18 21:00:00
1.61962800799552e-12,11,12,24,"KM1903","synecho","Qc",2019-02-19 07:00:00
1.04820240676699e-13,24,8,24,"KM1909","synecho","abundance",2019-06-11 21:00:00
1.76899326389719e-32,10,11,24,"KM1909","synecho","Qc",2019-06-11 07:00:00
0.0018372906456426,20,16,24,"KM1912","synecho","abundance",2019-07-01 16:00:00
2.37942739815647e-22,10,12,24,"KM1912","synecho","Qc",2019-07-01 06:00:00
1.17366278068102e-06,23,9,24,"KM1915","synecho","abundance",2019-08-02 21:00:00
3.14829920163513e-07,8,15,24,"KM1915","synecho","Qc",2019-08-02 06:00:00
3.40172753125233e-21,1,12,24,"KM1917","synecho","abundance",2019-09-03 21:00:00
2.00048994898136e-35,11,11,24,"KM1917","synecho","Qc",2019-09-04 07:00:00
0.57524705525318,8,17,24,"HOT318","synecho","abundance",2020-01-07 04:00:00
1.51974375220504e-17,12,8,24,"HOT318","synecho","Qc",2020-01-07 08:00:00
6.32366513813267e-14,21,14,24,"HOT319","synecho","abundance",2020-01-30 18:00:00
2.95963757796115e-21,12,11,24,"HOT319","synecho","Qc",2020-01-30 09:00:00
0.000442559713980152,21,11,24,"HOT321","synecho","abundance",2020-08-07 15:00:00
2.02974006190997e-14,13,11,24,"HOT321","synecho","Qc",2020-08-07 07:00:00
2.34741271917068e-09,11,14,24,"HOT322","synecho","abundance",2020-09-02 19:00:00
1.14479590873358e-17,22,17,24,"HOT322","synecho","Qc",2020-09-03 06:00:00
0.145457180699465,16,11,24,"HOT323","synecho","abundance",2020-09-26 16:00:00
2.94287088122995e-23,6,11,24,"HOT323","synecho","Qc",2020-09-26 06:00:00
1.87249882454476e-13,16,13,24,"HOT324","synecho","abundance",2020-11-18 16:00:00
4.67271838158288e-36,7,11,24,"HOT324","synecho","Qc",2020-11-18 07:00:00
0.00068336759854627,21,7,24,"HOT325","synecho","abundance",2020-12-18 16:00:00
5.41629611304944e-06,7,17,24,"HOT325","synecho","Qc",2020-12-18 02:00:00
0.199037275321077,8,13,24,"HOT326","synecho","abundance",2021-01-12 03:00:00
1.25262364262951e-13,13,12,24,"HOT326","synecho","Qc",2021-01-12 08:00:00
0.345735413025888,22,13,24,"KM1427","picoeuk","abundance",2014-12-09 20:00:00
0.0339045329332311,23,7,24,"KM1427","picoeuk","Qc",2014-12-09 21:00:00
6.83369644003934e-19,18,17,24,"KM1508","picoeuk","abundance",2015-05-23 13:00:00
3.34163126768811e-09,4,16,24,"KM1508","picoeuk","Qc",2015-05-22 23:00:00
5.09502183301096e-08,21,7,24,"KM1512","picoeuk","abundance",2015-07-19 17:00:00
4.98918865760277e-22,9,14,24,"KM1512","picoeuk","Qc",2015-07-19 05:00:00
