"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
4.5630740979894e-06,18,13,24,"KM1802","synecho","abundance",2018-01-17 23:00:00,13
6.55143526179044e-19,1,12,24,"KM1802","synecho","Qc",2018-01-17 06:00:00,20
0.153122211105662,20,8,24,"KOK1801","synecho","abundance",2018-04-18 06:00:00,20
7.89640561136313e-11,16,17,24,"KOK1801","synecho","Qc",2018-04-18 02:00:00,16
0.908333180175236,18,9,24,"KOK1803","synecho","abundance",2018-05-16 03:00:00,17
2.8699904741552e-05,19,13,24,"KOK1803","synecho","Qc",2018-05-16 04:00:00,18
2.57112570869348e-07,19,9,24,"KOK1804","synecho","abundance",2018-06-27 03:00:00,17
1.54070482247879e-23,19,13,24,"KOK1804","synecho","Qc",2018-06-27 03:00:00,17
1.45850709593567e-07,24,10,24,"KOK1807","synecho","abundance",2018-07-25 07:00:00,21
1.59798991314014e-25,22,12,24,"KOK1807","synecho","Qc",2018-07-25 05:00:00,19
4.39330481413025e-21,24,10,24,"KM1821","synecho","abundance",2018-11-17 05:00:00,19
3.73112926474552e-31,21,16,24,"KM1821","synecho","Qc",2018-11-17 02:00:00,16
1.05100194907824e-14,21,14,24,"KM1901","synecho","abundance",2019-01-16 03:00:00,17
1.33854614737332e-09,22,15,24,"KM1901","synecho","Qc",2019-01-16 04:00:00,18
7.37972487499106e-16,1,7,24,"KM1903","synecho","abundance",2019-02-19 07:00:00,21
1.61962800799552e-12,23,12,24,"KM1903","synecho","Qc",2019-02-20 05:00:00,19
3.33920834152433e-16,24,10,24,"KM1909","synecho","abundance",2019-06-12 07:00:00,21
1.76899326389719e-32,21,13,24,"KM1909","synecho","Qc",2019-06-12 04:00:00,18
0.00092599201179682,20,9,24,"KM1912","synecho","abundance",2019-07-02 02:00:00,16
2.37942739815647e-22,22,12,24,"KM1912","synecho","Qc",2019-07-02 04:00:00,18
0.0260628563242512,10,7,24,"KM1915","synecho","abundance",2019-08-02 18:00:00,8
3.14829920163513e-07,23,9,24,"KM1915","synecho","Qc",2019-08-03 07:00:00,21
1.7577657325636e-10,24,17,24,"KM1917","synecho","abundance",2019-09-05 06:00:00,20
2.00048994898136e-35,22,13,24,"KM1917","synecho","Qc",2019-09-05 04:00:00,18
0.892607469079068,22,14,24,"KM2001","synecho","abundance",2020-01-08 04:00:00,18
3.50602647521132e-17,20,16,24,"KM2001","synecho","Qc",2020-01-08 02:00:00,16
3.01749389013297e-14,21,13,24,"KM2002","synecho","abundance",2020-01-31 04:00:00,18
1.16680974770829e-20,21,14,24,"KM2002","synecho","Qc",2020-01-31 04:00:00,18
4.85403323935813e-18,2,8,24,"KM2009","synecho","abundance",2020-08-07 06:00:00,20
4.02167841653687e-21,24,13,24,"KM2009","synecho","Qc",2020-08-08 04:00:00,18
0.00076029662320447,7,9,24,"KM2010","synecho","abundance",2020-08-31 13:00:00,3
5.93673125132501e-42,21,14,24,"KM2010","synecho","Qc",2020-09-01 03:00:00,17
3.11023734884009e-09,19,14,24,"KM2011","synecho","abundance",2020-09-27 05:00:00,19
6.20614731249849e-13,17,14,24,"KM2011","synecho","Qc",2020-09-27 03:00:00,17
5.55522141640937e-10,17,12,24,"KM2013","synecho","abundance",2020-11-19 03:00:00,17
5.07997331290033e-41,17,14,24,"KM2013","synecho","Qc",2020-11-19 03:00:00,17
1.77152498092776e-06,23,7,24,"KM2014","synecho","abundance",2020-12-19 04:00:00,18
1.66774037621613e-08,20,16,24,"KM2014","synecho","Qc",2020-12-19 01:00:00,15
0.0093665582589012,4,13,24,"KM2101","synecho","abundance",2021-01-12 09:00:00,23
6.90948433558569e-20,24,13,24,"KM2101","synecho","Qc",2021-01-13 05:00:00,19
0.345735413025888,22,13,24,"KM1427","euk","abundance",2014-12-10 06:00:00,20
0.0339045329332311,6,17,24,"KM1427","euk","Qc",2014-12-09 14:00:00,4
6.83369644003934e-19,18,17,24,"KM1508","euk","abundance",2015-05-23 23:00:00,13
3.34163126768811e-09,20,8,24,"KM1508","euk","Qc",2015-05-24 01:00:00,15
