"pVal","phase","peak.shape","period","cruise","pop","param","first_peak"
5.87288800360396e-19,24,13,24,"KM2009","euk","Qc",2020-08-08 04:00:00
0.566616501978823,5,7,24,"KM2011","euk","abundance",2020-09-26 15:00:00
0.566616501978823,5,7,24,"KM2011","euk","abundance",2020-09-26 15:00:00
2.81414089060912e-11,17,14,24,"KM2011","euk","Qc",2020-09-27 03:00:00
2.41642473404074e-13,4,17,24,"KM2013","euk","abundance",2020-11-18 14:00:00
4.93473974546288e-37,18,12,24,"KM2013","euk","Qc",2020-11-19 04:00:00
7.27946904003102e-05,9,17,24,"KM2014","euk","abundance",2020-12-18 14:00:00
1.72498494863595e-09,22,15,24,"KM2014","euk","Qc",2020-12-19 03:00:00
0.00350230097978955,13,7,24,"KM2101","euk","abundance",2021-01-12 18:00:00
8.84411160478097e-19,22,16,24,"KM2101","euk","Qc",2021-01-13 03:00:00
0.000274152019008685,19,16,24,"KM1427","croco","abundance",2014-12-10 03:00:00
2.45959971832794e-13,19,14,24,"KM1427","croco","Qc",2014-12-10 03:00:00
0.868383355975478,23,8,24,"KM1508","croco","abundance",2015-05-24 04:00:00
0.0012174338990979,21,17,24,"KM1508","croco","Qc",2015-05-24 02:00:00
0.205023550023141,19,17,24,"KM1512","croco","abundance",2015-07-20 01:00:00
0.0145132413455142,5,10,24,"KM1512","croco","Qc",2015-07-19 11:00:00
1.58283788816093e-10,22,15,24,"KM1518","croco","abundance",2015-11-14 04:00:00
0.624271057057988,23,9,24,"KM1518","croco","Qc",2015-11-14 05:00:00
4.19135024253619e-06,20,17,24,"KM1601","croco","abundance",2016-01-13 02:00:00
1.38940484985921e-06,3,9,24,"KM1601","croco","Qc",2016-01-12 09:00:00
1.72736038465759e-06,24,9,24,"KM1602","croco","abundance",2016-02-10 06:00:00
0.420026738263552,5,10,24,"KM1602","croco","Qc",2016-02-09 11:00:00
0.000265939297551033,8,10,24,"KOK1604","croco","abundance",2016-04-14 03:00:00
0.190216656844868,21,14,24,"KOK1604","croco","Qc",2016-04-14 16:00:00
0.85681857490611,9,14,24,"KOK1608","croco","abundance",2016-07-11 05:00:00
0.745711336674718,8,11,24,"KOK1608","croco","Qc",2016-07-11 04:00:00
3.10266840720422e-09,4,17,24,"KOK1609","croco","abundance",2016-08-09 00:00:00
2.63342726982793e-17,13,12,24,"KOK1609","croco","Qc",2016-08-09 09:00:00
3.84984024345678e-09,16,17,24,"KM1708","croco","abundance",2017-06-20 22:00:00
1.39161603212842e-29,2,9,24,"KM1708","croco","Qc",2017-06-20 08:00:00
0.000664948149006471,20,17,24,"KM1717","croco","abundance",2017-11-09 01:00:00
1.22447034060811e-20,22,15,24,"KM1717","croco","Qc",2017-11-09 03:00:00
0.228156810688496,18,10,24,"KM1802","croco","abundance",2018-01-17 23:00:00
0.00449529744727605,1,13,24,"KM1802","croco","Qc",2018-01-17 06:00:00
8.64198581905131e-06,18,12,24,"KOK1801","croco","abundance",2018-04-18 04:00:00
0.510493271487598,18,13,24,"KOK1801","croco","Qc",2018-04-18 04:00:00
0.935376453123377,8,17,24,"KOK1803","croco","abundance",2018-05-15 17:00:00
0.959846490551838,20,10,24,"KOK1803","croco","Qc",2018-05-16 05:00:00
0.000200400184113658,18,16,24,"KOK1804","croco","abundance",2018-06-27 02:00:00
8.87834528211866e-19,23,10,24,"KOK1804","croco","Qc",2018-06-27 07:00:00
0.0722313753380862,21,12,24,"KOK1807","croco","abundance",2018-07-25 04:00:00
0.0629094698674194,23,12,24,"KOK1807","croco","Qc",2018-07-25 06:00:00
3.37165598182479e-06,22,16,24,"KM1821","croco","abundance",2018-11-17 03:00:00
2.10611859813979e-32,22,15,24,"KM1821","croco","Qc",2018-11-17 03:00:00
0.210257319523764,18,8,24,"KM1901","croco","abundance",2019-01-16 00:00:00
0.126187166151364,24,12,24,"KM1901","croco","Qc",2019-01-16 06:00:00
0.0206978919975114,14,15,24,"KM1903","croco","abundance",2019-02-19 20:00:00
0.0560123251130667,3,13,24,"KM1903","croco","Qc",2019-02-19 09:00:00
0.361180990457873,20,17,24,"KM1909","croco","abundance",2019-06-12 03:00:00
0.91364925846274,12,17,24,"KM1909","croco","Qc",2019-06-11 19:00:00
