"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
0.126187166151364,24,12,24,"KM1901","croco","Qc",2019-01-16 06:00:00,20
0.0560123251130667,3,13,24,"KM1903","croco","Qc",2019-02-19 09:00:00,23
0.91364925846274,12,17,24,"KM1909","croco","Qc",2019-06-11 19:00:00,9
5.71523092526738e-14,2,8,24,"KM1912","croco","Qc",2019-07-01 08:00:00,22
1.2809110187611e-16,23,13,24,"KM1915","croco","Qc",2019-08-03 07:00:00,21
1.33454627892844e-35,2,10,24,"KM1917","croco","Qc",2019-09-04 08:00:00,22
0.870290138590613,13,13,24,"KM2001","croco","Qc",2020-01-07 19:00:00,9
0.853708145976811,12,12,24,"KM2002","croco","Qc",2020-01-30 19:00:00,9
1.17083147504241e-28,4,12,24,"KM2009","croco","Qc",2020-08-07 08:00:00,22
1.80850523467619e-20,22,9,24,"KM2011","croco","Qc",2020-09-27 08:00:00,22
3.35098294416316e-07,20,9,24,"KM2013","croco","Qc",2020-11-19 06:00:00,20
0.387687805211768,4,17,24,"KM2014","croco","Qc",2020-12-18 09:00:00,23
0.118540393771162,12,7,24,"KM2101","croco","Qc",2021-01-12 17:00:00,7
